source,rotation_deg,flip_lr,flip_ud,crop_top,crop_bottom,crop_left,crop_right,specimen
HallPotCore/Rivet/SquareFrontside/rivet_frontside_square_300x300_z1_20260119_191806.tdms,180,0,1,,,,,
HallPotCore/Rivet/SquareFrontside/rivet_frontside_square_300x300_z2_20260110_190533.tdms,180,0,0,,,,,
TMR/Corrosion/ChirpBackside/tmr_corosion_backside_chirp_300x300_z1_20260129_192246.tdms,270,0,0,,,,,
TMR/Corrosion/ChirpBackside/tmr_corosion_backside_chirp_300x300_z2_20260130_121753.tdms,270,0,0,,,,,
TMR/Corrosion/ChirpBackside/tmr_corosion_backside_chirp_300x300_z3_20260130_165505.tdms,270,0,0,,,,,
TMR/Corrosion/ChirpFrontside/tmr_corosion_frontside_chirp_300x300_z1_20260128_015728.tdms,0,0,0,,,,,
TMR/Corrosion/ChirpFrontside/tmr_corosion_frontside_chirp_300x300_z2_20260128_052059.tdms,0,0,0,,,,,
TMR/Corrosion/ChirpFrontside/tmr_corosion_frontside_chirp_300x300_z3_20260128_084535.tdms,0,0,0,,,,,
TMR/Corrosion/GaussBackside/tmr_corosion_backside_gaussian_300x300_z1_20260128_234813.tdms,270,0,0,,,,,
TMR/Corrosion/GaussBackside/tmr_corosion_backside_gaussian_300x300_z2_20260129_123332.tdms,270,0,0,,,,,
TMR/Corrosion/GaussBackside/tmr_corosion_backside_gaussian_300x300_z3_20260129_155806.tdms,270,0,0,,,,,
TMR/Corrosion/GaussFrontside/tmr_corosion_frontside_gaussian_300x300_z1_20260127_154450.tdms,0,0,0,,,,,
TMR/Corrosion/GaussFrontside/tmr_corosion_frontside_gaussian_300x300_z2_20260127_190822.tdms,0,0,0,,,,,
TMR/Corrosion/GaussFrontside/tmr_corosion_frontside_gaussian_300x300_z3_20260127_223255.tdms,0,0,0,,,,,
TMR/Corrosion/SquareBackside/tmr_corosion_backside_square_300x300_z1_20260128_122351.tdms,270,0,0,,,,,
TMR/Corrosion/SquareBackside/tmr_corosion_backside_square_300x300_z2_20260130_085317.tdms,270,0,0,,,,,
TMR/Corrosion/SquareBackside/tmr_corosion_backside_square_300x300_z3_20260128_202340.tdms,270,0,0,,,,,
TMR/Corrosion/SquareFrontside/tmr_corosion_frontside_square_300x300_z1_20260126_190655.tdms,0,1,0,,,,,
TMR/Corrosion/SquareFrontside/tmr_corosion_frontside_square_300x300_z2_20260127_085536.tdms,0,0,0,,,,,
TMR/Corrosion/SquareFrontside/tmr_corosion_frontside_square_300x300_z3_20260127_122012.tdms,0,0,0,,,,,
TMR/Mixed/Chirp/tmr_potcore_mixed_frontside_chirp_300x300_2.97_500_1500hz_z1_20260204_093801.tdms,270,0,0,,,,,
TMR/Mixed/Chirp/tmr_potcore_mixed_frontside_chirp_300x300_2.97_500_1500hz_z2_20260204_180705.tdms,270,0,0,,,,,
TMR/Mixed/Chirp/tmr_potcore_mixed_frontside_chirp_300x300_2.97_500_1500hz_z3_20260204_213137.tdms,270,0,0,,,,,
TMR/Mixed/Gauss/tmr_potcore_mixed_frontside_gaussian_300x300_3.88_1000hz_z1_20260205_141017.tdms,270,0,0,,,,,
TMR/Mixed/Gauss/tmr_potcore_mixed_frontside_gaussian_300x300_3.88_1000hz_z2_20260204_024848.tdms,270,0,0,,,,,
